                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9378,                 3.6715,                 4.1979,                0.00594,                  0.975,                0.01748,                0.00811,                 2.5039,                  3.539,                 4.1476,             0.00025005,             0.00025005,             0.00025005
                      2,                 2.8822,                 3.5228,                 4.0777,                0.00575,                  0.975,                0.01917,                 0.0087,                 2.4422,                 3.5129,                 4.0623,             0.00051283,             0.00051283,             0.00051283
                      3,                 2.8072,                 3.2574,                 3.8588,                0.00577,                  0.975,                0.15231,                0.07567,                 2.2693,                 3.4088,                 3.8204,             0.00077156,             0.00077156,             0.00077156
                      4,                 2.7846,                  3.173,                 3.7044,                0.00614,                  0.975,                0.24799,                0.08988,                 2.2201,                 3.6593,                 3.2937,              0.0010262,              0.0010262,              0.0010262
                      5,                 2.6782,                 3.0464,                 3.5275,                0.60092,                0.44444,                0.22238,                0.08932,                 2.0596,                 8.6889,                 3.1063,              0.0012768,              0.0012768,              0.0012768
                      6,                  2.628,                 2.9427,                 3.3959,                0.63169,                0.38889,                0.32699,                 0.1253,                 2.4015,                 9.6732,                 3.6053,              0.0015233,              0.0015233,              0.0015233
                      7,                 2.5088,                 2.8977,                 3.2914,                0.69556,                0.38889,                0.51913,                0.19846,                 2.2225,                 7.7793,                 3.9084,              0.0015908,              0.0015908,              0.0015908
                      8,                 2.4604,                 2.9182,                 3.1753,                0.22559,                   0.65,                0.36094,                0.11661,                  1.984,                 13.294,                 3.3926,              0.0015781,              0.0015781,              0.0015781
                      9,                  2.321,                 2.7839,                 3.0494,                0.36832,                  0.825,                0.50188,                0.18013,                 2.1162,                  6.791,                 3.5661,              0.0015654,              0.0015654,              0.0015654
                     10,                 2.2149,                 2.6867,                 2.9905,                0.30608,                0.83365,                0.37081,                0.14885,                 2.0829,                 3.5891,                 3.0922,              0.0015527,              0.0015527,              0.0015527
                     11,                 2.2121,                 2.6202,                  2.906,                0.46944,                0.79154,                0.50956,                0.25424,                 1.8895,                 2.7123,                 2.6596,              0.0015401,              0.0015401,              0.0015401
                     12,                  2.139,                 2.4446,                  2.812,                0.52596,                0.71944,                 0.6147,                0.33117,                 1.6739,                 2.6313,                 2.5297,              0.0015274,              0.0015274,              0.0015274
                     13,                 1.9942,                 2.3303,                 2.7299,                0.60733,                  0.825,                0.64721,                0.32133,                 1.7319,                 2.1319,                 2.5115,              0.0015147,              0.0015147,              0.0015147
                     14,                  1.924,                 2.3073,                 2.6598,                0.52336,                0.50691,                0.55519,                0.28643,                 1.7028,                 2.2828,                 2.4627,               0.001502,               0.001502,               0.001502
                     15,                 1.8921,                 2.2865,                 2.5786,                0.57098,                0.86102,                0.58714,                0.29017,                 1.5428,                 2.5132,                 2.3105,              0.0014893,              0.0014893,              0.0014893
                     16,                  1.766,                 2.1241,                 2.4702,                 0.5438,                0.85168,                0.76162,                0.33996,                 1.6377,                 2.1345,                 2.4564,              0.0014766,              0.0014766,              0.0014766
                     17,                  1.761,                 2.0308,                 2.4386,                0.52841,                0.72675,                0.60989,                0.32711,                 1.6378,                 1.8291,                 2.3333,              0.0014639,              0.0014639,              0.0014639
                     18,                 1.6757,                 1.9547,                 2.3826,                0.95113,                0.70705,                0.92097,                0.48581,                 1.7169,                 1.6025,                 2.4382,              0.0014512,              0.0014512,              0.0014512
                     19,                 1.6524,                  1.942,                 2.3387,                0.67971,                   0.95,                0.72167,                0.40215,                 1.3872,                  1.707,                 2.0962,              0.0014385,              0.0014385,              0.0014385
                     20,                 1.5667,                 1.7973,                 2.2303,                0.79415,                0.73077,                0.93666,                0.51516,                 1.4652,                  1.593,                   2.26,              0.0014258,              0.0014258,              0.0014258
                     21,                 1.6486,                 1.7783,                 2.3117,                0.84932,                  0.925,                0.95623,                0.50602,                 1.5102,                 1.5103,                 2.3228,              0.0014131,              0.0014131,              0.0014131
                     22,                 1.5427,                 1.7458,                 2.2301,                0.89056,                0.94444,                0.97094,                0.48068,                 1.5257,                 1.5085,                 2.2007,              0.0014004,              0.0014004,              0.0014004
                     23,                 1.5218,                 1.6228,                 2.1531,                0.86837,                0.87702,                0.91599,                0.53563,                 1.3713,                 1.4329,                 2.1124,              0.0013877,              0.0013877,              0.0013877
                     24,                 1.4567,                 1.5729,                 2.1079,                0.77206,                0.75278,                0.80448,                0.41822,                 1.6137,                 1.3647,                 2.2448,               0.001375,               0.001375,               0.001375
                     25,                  1.524,                  1.634,                 2.1854,                0.87685,                0.95457,                0.93508,                0.55244,                 1.4593,                 1.1373,                 2.1721,              0.0013623,              0.0013623,              0.0013623
                     26,                 1.4656,                 1.5414,                 2.1328,                0.76028,                0.76269,                0.91301,                0.48074,                 1.5585,                 1.3828,                 2.1858,              0.0013496,              0.0013496,              0.0013496
                     27,                 1.3843,                 1.4642,                  2.064,                0.90121,                0.95436,                0.97181,                0.58946,                 1.2995,                 1.3261,                 1.9941,              0.0013369,              0.0013369,              0.0013369
                     28,                 1.3588,                 1.4208,                 2.0106,                0.88115,                0.95274,                0.97181,                0.55296,                 1.3161,                0.97113,                 1.9715,              0.0013242,              0.0013242,              0.0013242
                     29,                 1.3959,                 1.4302,                  2.038,                 0.9498,                0.88889,                0.96798,                0.52683,                 1.3859,                0.96623,                 2.0179,              0.0013115,              0.0013115,              0.0013115
                     30,                 1.3539,                 1.4162,                  2.008,                0.94974,                0.89474,                0.97414,                0.48194,                 1.3725,                  1.127,                 2.0397,              0.0012988,              0.0012988,              0.0012988
                     31,                 1.3926,                 1.3573,                 2.0051,                0.77617,                0.88889,                0.94902,                0.50375,                 1.3041,                 1.7807,                 2.0223,              0.0012862,              0.0012862,              0.0012862
                     32,                 1.2954,                 1.2679,                 1.9413,                0.98918,                0.94444,                0.97094,                0.54915,                 1.4309,                 1.0014,                 2.1156,              0.0012735,              0.0012735,              0.0012735
                     33,                 1.2816,                  1.218,                 1.9045,                0.91823,                0.96298,                  0.979,                0.50101,                  1.405,                0.97233,                 2.1102,              0.0012608,              0.0012608,              0.0012608
                     34,                 1.2808,                 1.2435,                 1.9075,                0.94811,                0.99349,                0.99381,                 0.5932,                 1.2821,                0.85845,                 1.9502,              0.0012481,              0.0012481,              0.0012481
                     35,                 1.2949,                 1.2323,                 1.9361,                0.95744,                  0.975,                0.99023,                0.45171,                 1.6585,                0.89145,                 2.4392,              0.0012354,              0.0012354,              0.0012354
                     36,                 1.2772,                 1.2174,                 1.8939,                0.94831,                0.86389,                0.95137,                0.54024,                 1.3964,                0.94487,                 2.0459,              0.0012227,              0.0012227,              0.0012227
